node,parameter,source_default,yaml_value,launch_override,runtime_value,source_line,status
yolo_detector_node,infer_imgsz,0,0,None,0,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:43,MATCH_1_TO_1
yolo_detector_node,conf,0.45,0.45,None,0.45,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:44,MATCH_1_TO_1
yolo_detector_node,iou,0.45,0.45,None,0.45,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:45,MATCH_1_TO_1
yolo_detector_node,classes,[0],[0],None,[0],ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:46,MATCH_1_TO_1
yolo_detector_node,min_box_area_ratio,0.0003,0.0003,None,0.0003,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:47,MATCH_1_TO_1
yolo_detector_node,max_box_area_ratio,0.85,0.85,None,0.85,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:51,MATCH_1_TO_1
yolo_detector_node,min_aspect_ratio,0.7,0.7,None,0.7,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:57,MATCH_1_TO_1
yolo_detector_node,max_aspect_ratio,4.8,4.8,None,4.8,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:58,MATCH_1_TO_1
yolo_detector_node,bottom_margin_ratio,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:59,MATCH_1_TO_1
yolo_detector_node,show_debug_image,True,True,None,True,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:60,MATCH_1_TO_1
yolo_detector_node,target_timeout,4.0,4.0,None,4.0,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:61,MATCH_1_TO_1
yolo_detector_node,lock_reacquire_s,5.0,5.0,None,5.0,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:66,MATCH_1_TO_1
yolo_detector_node,reacquire_min_iou,0.15,0.15,None,0.15,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:67,MATCH_1_TO_1
yolo_detector_node,log_period,1.5,1.5,None,1.5,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:68,MATCH_1_TO_1
yolo_detector_node,max_frame_rate,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:69,MATCH_1_TO_1
live_camera_hud,topic,/tracking/debug_image,/tracking/debug_image,None,/tracking/debug_image,ros2_ws/src/vision_tracking/vision_tracking/live_camera_hud_node.py:31,MATCH_1_TO_1
live_camera_hud,teleop_speed,2.0,2.0,None,2.0,ros2_ws/src/vision_tracking/vision_tracking/live_camera_hud_node.py:32,MATCH_1_TO_1
live_camera_hud,teleop_z_speed,1.0,1.0,None,1.0,ros2_ws/src/vision_tracking/vision_tracking/live_camera_hud_node.py:33,MATCH_1_TO_1
live_camera_hud,teleop_yaw_speed,1.1,1.1,None,1.1,ros2_ws/src/vision_tracking/vision_tracking/live_camera_hud_node.py:34,MATCH_1_TO_1
live_camera_hud,map_radius_m,25.0,25.0,None,25.0,ros2_ws/src/vision_tracking/vision_tracking/live_camera_hud_node.py:35,MATCH_1_TO_1
simulation_realism,camera_input,/camera/image_raw,/camera/image_raw,None,/camera/image_raw,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:26,MATCH_1_TO_1
simulation_realism,camera_output,/simulation/camera/image,/simulation/camera/image,None,/simulation/camera/image,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:27,MATCH_1_TO_1
simulation_realism,camera_delay_ms,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:28,MATCH_1_TO_1
simulation_realism,camera_drop_probability,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:29,MATCH_1_TO_1
simulation_realism,camera_motion_blur_pixels,0,0,None,0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:30,MATCH_1_TO_1
simulation_realism,camera_queue_depth,8,8,None,8,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:31,MATCH_1_TO_1
simulation_realism,imu_input,,,None,,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:32,MATCH_1_TO_1
simulation_realism,imu_output,/simulation/imu,/simulation/imu,None,/simulation/imu,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:33,MATCH_1_TO_1
simulation_realism,imu_noise_stddev,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:34,MATCH_1_TO_1
simulation_realism,imu_bias,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",None,"[0.0, 0.0, 0.0]",ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:35,MATCH_1_TO_1
simulation_realism,imu_drift_per_s,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",None,"[0.0, 0.0, 0.0]",ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:36,MATCH_1_TO_1
simulation_realism,gps_input,,,None,,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:37,MATCH_1_TO_1
simulation_realism,gps_output,/simulation/gps,/simulation/gps,None,/simulation/gps,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:38,MATCH_1_TO_1
simulation_realism,gps_noise_m,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:39,MATCH_1_TO_1
simulation_realism,gps_dropout_probability,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:40,MATCH_1_TO_1
simulation_realism,baro_input,,,None,,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:41,MATCH_1_TO_1
simulation_realism,baro_output,/simulation/baro,/simulation/baro,None,/simulation/baro,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:42,MATCH_1_TO_1
simulation_realism,baro_noise_pa,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:43,MATCH_1_TO_1
simulation_realism,sensor_dropout_probability,0.0,0.0,None,0.0,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:44,MATCH_1_TO_1
simulation_realism,seed,7,7,None,7,ros2_ws/src/vision_tracking/vision_tracking/sim_realism_node.py:45,MATCH_1_TO_1
